format,Name,description,minting-too,series_number,series_total,attributes,collection,Hash
CHIP-0007,adewale-the-amebo,Adewale likes to be in everyone's business. ,TEAM BEVEL,1,420,"[{'trait_type': 'gender', 'value': 'Male'}, {'trait_type': 'hair: bald; eyes: black; teeth: none; clothing: red; accessories: mask; expression: none; strength: powerful; weakness: curiosity'}]","{'name': 'Zuri NFT Tickets for Free Lunch', 'id': 'b774f676-c1d5-422e-beed-00ef5510c64d', 'attributes': [{'trait_type': 'description', 'value': 'Rewards for accomplishments during HNGi9'}]}",7c01d50eaf2f082c0e25986c5842c3b05be21f86544db91254b9a27a9c04dfcf
CHIP-0007,alli-the-queeny,Alli is an LGBT Stan.,,2,420,"[{'trait_type': 'gender', 'value': 'Male'}, {'trait_type': 'hair: bald; eyes: white; teeth: none; clothing: yellow; accessories: mask; expression: none; strength: powerful; weakness: none'}]","{'name': 'Zuri NFT Tickets for Free Lunch', 'id': 'b774f676-c1d5-422e-beed-00ef5510c64d', 'attributes': [{'trait_type': 'description', 'value': 'Rewards for accomplishments during HNGi9'}]}",f45387b00a9291385ac75fdc50259f8602a0f177a1a66d00d556c16b6eec094c
CHIP-0007,aminat-the-snnobish,Aminat never really wants to talk to anyone.,,3,420,"[{'trait_type': 'gender', 'value': 'Female'}, {'trait_type': 'hair: brown bun; eyes: none; teeth: none; clothing: yellow; accessories: glasses; expression: blank; strength: none; weakness: attitude'}]","{'name': 'Zuri NFT Tickets for Free Lunch', 'id': 'b774f676-c1d5-422e-beed-00ef5510c64d', 'attributes': [{'trait_type': 'description', 'value': 'Rewards for accomplishments during HNGi9'}]}",3c23912ed02bdba80cae2577eda436bf6766bab67b4030818c19ae5bda24d4a3
CHIP-0007,aminu-the-carpenter,Aminu's hands are blessed; he makes the best furniture in the whole of Kano.,,4,420,"[{'trait_type': 'gender', 'value': 'Male'}, {'trait_type': 'hair: bald; eyes: blue; teeth: none; clothing: yellow; accessories: mask; expression: none; strength: powerful; weakness: none'}]","{'name': 'Zuri NFT Tickets for Free Lunch', 'id': 'b774f676-c1d5-422e-beed-00ef5510c64d', 'attributes': [{'trait_type': 'description', 'value': 'Rewards for accomplishments during HNGi9'}]}",d14fdf7d016be8c4aefa0f5f2c9e5917be1b924beaee0fd679ce738ab4adf429
CHIP-0007,chibuike-the-kudibag,Chibuike is too rich. Everyone wonders how he got it.,,5,420,"[{'trait_type': 'gender', 'value': 'Male'}, {'trait_type': 'hair: bald; eyes: black; teeth: none; clothing: blue; accessories: mask; expression: none; strength: hustler; weakness: none'}]","{'name': 'Zuri NFT Tickets for Free Lunch', 'id': 'b774f676-c1d5-422e-beed-00ef5510c64d', 'attributes': [{'trait_type': 'description', 'value': 'Rewards for accomplishments during HNGi9'}]}",5f347ba822a855c7ce05492a6e4e132a432e5c8db2a51ac0054c2fc25def74bd
CHIP-0007,chidinma-the-model,From Paris' runways; to London's streets; she's always in demand.,,6,420,"[{'trait_type': 'gender', 'value': 'Female'}, {'trait_type': 'hair: brown hair; eyes: none; teeth: none; clothing: multicolored; accessories: glasses; expression: none; strength: hardworking; weakness: none'}]","{'name': 'Zuri NFT Tickets for Free Lunch', 'id': 'b774f676-c1d5-422e-beed-00ef5510c64d', 'attributes': [{'trait_type': 'description', 'value': 'Rewards for accomplishments during HNGi9'}]}",ef314bd33838a033885b75db810d232ef067b42cf1cd19b58db574f854703700
CHIP-0007,chioma-pretty- girl,Chioma's face card is a 100.,,7,420,"[{'trait_type': 'gender', 'value': 'Female'}, {'trait_type': 'hair: dreads; eyes: none; teeth: none; clothing: multicolored; accessories: glasses; expression: none; strength: none; weakness: none'}]","{'name': 'Zuri NFT Tickets for Free Lunch', 'id': 'b774f676-c1d5-422e-beed-00ef5510c64d', 'attributes': [{'trait_type': 'description', 'value': 'Rewards for accomplishments during HNGi9'}]}",6e298f9327bc01bb9a8a1f8655e74b0cdc85a107e5d23ec0141dbc5469f36f1e
CHIP-0007,damilare-the-handsome,He's a fine boy; proper eye candy. ,,8,420,"[{'trait_type': 'gender', 'value': 'Male'}, {'trait_type': 'hair: bald; eyes: white; teeth: none; clothing: yellow; accessories: mask; expression: none; strength: none; weakness: none'}]","{'name': 'Zuri NFT Tickets for Free Lunch', 'id': 'b774f676-c1d5-422e-beed-00ef5510c64d', 'attributes': [{'trait_type': 'description', 'value': 'Rewards for accomplishments during HNGi9'}]}",8e57a4302eaf98ed224162e5364f826ad594bd8d027cbe3907731b447efc6c7f
CHIP-0007,ebiowie-the-planter,Ebiowei has a reputation for nurturing plants.,,9,420,"[{'trait_type': 'gender', 'value': 'Male'}, {'trait_type': 'hair: bald; eyes: none; teeth: none; clothing: multicolored; accessories: none; expression: none; strength: powerful; weakness: none'}]","{'name': 'Zuri NFT Tickets for Free Lunch', 'id': 'b774f676-c1d5-422e-beed-00ef5510c64d', 'attributes': [{'trait_type': 'description', 'value': 'Rewards for accomplishments during HNGi9'}]}",eb9d7526cb9adb85e77358db535dfb55914d537a670d3354a50ce5f07ed71b29
CHIP-0007,emeka-the-businessman,Emeka only cares about containers. No time to waste.,,10,420,"[{'trait_type': 'gender', 'value': 'Male'}, {'trait_type': 'hair: bald; eyes: white; teeth: none; clothing: orange; accessories: mask; expression: none; strength: hard worker; weakness: none'}]","{'name': 'Zuri NFT Tickets for Free Lunch', 'id': 'b774f676-c1d5-422e-beed-00ef5510c64d', 'attributes': [{'trait_type': 'description', 'value': 'Rewards for accomplishments during HNGi9'}]}",efa89082b896d7a9f284681ef202100a98b58f94eb339bd8ac6d7adf6b48699e
CHIP-0007,gbeminyi-the-monk,He lives in a monastery off the coast. No one has heard him speak in years.,,11,420,"[{'trait_type': 'gender', 'value': 'Male'}, {'trait_type': 'hair: bald; eyes: blue; teeth: none; clothing: yellow; accessories: mask; expression: none; strength: none; weakness: none'}]","{'name': 'Zuri NFT Tickets for Free Lunch', 'id': 'b774f676-c1d5-422e-beed-00ef5510c64d', 'attributes': [{'trait_type': 'description', 'value': 'Rewards for accomplishments during HNGi9'}]}",9ce26f2c8d1dd45f32793a632d94314be12cccb5b7f98b06696c4035e936eee4
CHIP-0007,henry-the-sportsman,He's played every sport known to man. Even cricket.,,12,420,"[{'trait_type': 'gender', 'value': 'Male'}, {'trait_type': 'hair: bald; eyes: yellow; teeth: none; clothing: multicolored; accessories: mask; expression: none; strength: agility; weakness: none'}]","{'name': 'Zuri NFT Tickets for Free Lunch', 'id': 'b774f676-c1d5-422e-beed-00ef5510c64d', 'attributes': [{'trait_type': 'description', 'value': 'Rewards for accomplishments during HNGi9'}]}",78dcbcd2adfb9edd17089b952b014888e36585194587fe913fd0c3bee570d014
